Time Step,Robot ID,X,Y,Degree,SD Est,,
41,2,-45.00428,62.607212,0,0,,
41,3,-163.56003,380.12885,0,0,,
41,4,-299.20557,-206.444,0,0,,
41,5,84.22006,-259.18954,0,0,,
41,6,-364.39987,-0.8359661,0,0,,
41,7,-84.74145,250.79501,0,0,,
41,8,13.454008,0.6998937,0,0,,
41,9,226.97124,-161.04066,0,0,,
41,10,158.76671,-358.76913,0,0,,
41,11,-15.498013,-374.02075,0,0,,
42,0,-7.463113,165.59506,0,0,,
42,1,-255.18208,-73.869965,0,0,,
42,2,-44.323887,65.52904,0,0,,
42,3,-166.28357,381.38675,0,0,,
42,4,-296.62296,-204.91751,0,0,,
42,5,81.40363,-260.22287,0,0,,
42,6,-367.32132,-0.15389872,0,0,,
42,7,-87.29891,249.22678,0,0,,
42,8,16.354883,1.464694,0,0,,
42,9,224.11737,-160.11575,0,0,,
42,10,161.55222,-359.88312,0,0,,
42,11,-15.294682,-377.01385,0,0,,
43,0,-5.9683576,162.99396,0,0,,
43,1,-257.18533,-76.10312,0,0,,
43,2,-45.130627,68.41853,0,0,,
43,3,-168.7968,383.02493,0,0,,
43,4,-295.07828,-202.34573,0,0,,
43,5,78.82196,-261.75092,0,0,,
43,6,-370.31888,-0.03312759,0,0,,
43,7,-89.44451,247.13002,0,0,,
43,8,19.272734,2.1619372,0,0,,
43,9,221.50958,-158.6327,0,0,,
43,10,164.32617,-361.02554,0,0,,
43,11,-15.045449,-380.00348,0,0,,
44,0,-4.103342,160.64412,0,0,,
44,1,-258.90796,-78.55925,0,0,,
44,2,-44.577427,71.36709,0,0,,
44,3,-171.05836,384.99606,0,0,,
44,4,-293.0157,-200.16728,0,0,,
44,5,76.278854,-263.34235,0,0,,
44,6,-373.3061,-0.30991507,0,0,,
44,7,-91.551445,244.99442,0,0,,
44,8,22.251608,2.5173302,0,0,,
44,9,218.5439,-158.18025,0,0,,
44,10,167.01215,-362.3618,0,0,,
44,11,-14.976017,-383.0027,0,0,,
45,0,-2.500237,158.10837,0,0,,
45,1,-260.59088,-81.042755,0,0,,
45,2,-44.065765,74.323135,0,0,,
45,3,-173.16577,387.13123,0,0,,
45,4,-290.81866,-198.12447,0,0,,
45,5,73.91288,-265.18683,0,0,,
45,6,-376.29852,-0.5229363,0,0,,
45,7,-93.5961,242.7991,0,0,,
45,8,25.181175,3.1635747,0,0,,
45,9,215.59361,-157.63634,0,0,,
45,10,169.97972,-362.80173,0,0,,
45,11,-15.140694,-385.99817,0,0,,
46,0,-0.9814068,155.52126,0,0,,
46,1,-262.09158,-83.64043,0,0,,
46,2,-43.45166,77.259605,0,0,,
46,3,-175.41573,389.1156,0,0,,
46,4,-288.7208,-195.97993,0,0,,
46,5,71.22276,-266.5147,0,0,,
46,6,-379.2559,-0.018925428,0,0,,
46,7,-95.31509,240.34042,0,0,,
46,8,28.169212,3.4312243,0,0,,
46,9,212.81865,-156.49635,0,0,,
46,10,172.79443,-363.8397,0,0,,
46,11,-15.060342,-388.9971,0,0,,
47,0,0.4836489,152.90332,0,0,,
47,1,-264.55203,-85.356865,0,0,,
47,2,-42.74139,80.17431,0,0,,
47,3,-177.82513,390.90298,0,0,,
47,4,-286.85806,-193.6283,0,0,,
47,5,68.49167,-267.75613,0,0,,
47,6,-382.25516,-0.085175686,0,0,,
47,7,-97.06672,237.9049,0,0,,
47,8,31.022924,4.3566036,0,0,,
47,9,209.96916,-155.55806,0,0,,
47,10,175.43584,-365.262,0,0,,
47,11,-15.172323,-391.995,0,0,,
48,0,1.7256404,150.17249,0,0,,
48,1,-266.97687,-87.123276,0,0,,
48,2,-42.82756,83.17307,0,0,,
48,3,-175.12564,391.3087,0,0,,
48,4,-285.4474,-190.98065,0,0,,
48,5,65.563324,-268.40793,0,0,,
48,6,-385.24985,-0.26374674,0,0,,
48,7,-98.75181,235.42288,0,0,,
48,8,33.603302,5.886851,0,0,,
48,9,207.11551,-154.63248,0,0,,
48,10,178.38147,-365.8305,0,0,,
48,11,-14.76922,-392.9728,0,0,,
49,0,3.3024096,147.62027,0,0,,
49,1,-268.77002,-89.5284,0,0,,
49,2,-43.21857,86.147484,0,0,,
49,3,-172.56326,388.4398,0,0,,
49,4,-284.31195,-188.20383,0,0,,
49,5,62.58694,-268.78363,0,0,,
49,6,-388.24948,-0.21718839,0,0,,
49,7,-100.97098,233.40414,0,0,,
49,8,35.788902,7.941882,0,0,,
49,9,204.33185,-153.5139,0,0,,
49,10,181.29874,-366.53015,0,0,,
49,11,-16.635262,-392.34903,0,0,,
50,0,5.089424,145.21059,0,0,,
50,1,-270.29556,-92.11155,0,0,,
50,2,-43.1907,89.147354,0,0,,
50,3,-170.2104,386.57858,0,0,,
50,4,-283.4516,-185.32983,0,0,,
50,5,59.593956,-268.98865,0,0,,
50,6,-391.24326,-0.4103997,0,0,,
50,7,-102.23571,230.68376,0,0,,
50,8,37.646736,10.297398,0,0,,
50,9,201.63231,-152.20528,0,0,,
50,10,184.10426,-367.5927,0,0,,
